############################
#  Brazil

Key,          Name,                        Code

#  Campeonato Brasileiro Série A | Brasileirão

corinthians,  Corinthians SP,              COR
saopaulo,     São Paulo SP,                SAO
santossp,     Santos SP,                   SAN
palmeiras,    Palmeiras SP,                PAL
pontepreta,   Ponte Preta,                 PON
botafogo,     Botafogo RJ,                 BOT
flamengo,     Flamengo RJ,                 FLA
fluminense,   Fluminense RJ,               FLU
atleticomg,   Atlético Mineiro,            CAM
cruzeiro,     Cruzeiro MG,                 CRU
americamg,    América MG,                  AMG
gremio,       Grêmio Porto Alegre,         GRE
interrs,      Internacional Porto Alegre,  INT
atleticopr,   Atlético Paranaense,         CAP
coritiba,     Coritiba PR,                 CTB
figueirense,  Figueirense,                 FIG
chapecoense,  Chapecoense,                 CHA
sportrecife,  Sport Recife,                SPT
santacruzpe,  Santa Cruz,                  SAN
vitoria,      EC Vitória,                  VIT


#  Campeonato Brasileiro Série B | Brasileirão

criciuma,      Criciúma EC,                CRI
avai,          Avaí FC,                    AVA

# todo/fix: no club match for (canonical) name >Joinvile EC< in props row:
# joinvile,      Joinvile EC,                JOI

goias,         Goiás EC,                   GOI
atleticogo,    Atlético GO,                ACG
vilanovago,    Vila Nova GO,               VIL
bragantino,    CA Bragantino,              BRA
oeste,         Oeste SP,                   OES
londrina,      Londrina EC,                LON
parana,        Paraná Clube,               PAR
vascodagama,   CR Vasco da Gama,           VAS
bahia,         Bahia BA,                   BAI
nautico,       C Náutico Capibaribe,       NAU
tupi,          Tupi MG,                    TUP
brasilrs,      Brasil RS,                  GEB
ceara,         Ceára SC,                   CEA
paysandu,      Paysandu SC,                PAY
crb,           CRB AL,                     CRB
luverdense,    Luverdense EC,              LUV
sampaiocorrea, Sampaio Corrêa FC,          SAC
